data,valor
2022-05-25,4.8359
2022-05-26,4.7967
2022-05-27,4.7434
2022-05-30,4.7216
2022-05-31,4.7289
2022-06-01,4.7765
2022-06-02,4.7879
2022-06-03,4.7956
2022-06-06,4.7839
2022-06-07,4.8909
2022-06-08,4.8711
2022-06-09,4.8951
2022-06-10,4.9836
2022-06-13,5.1033
2022-06-14,5.1203
2022-06-15,5.1119
2022-06-17,5.1313
2022-06-20,5.1641
2022-06-21,5.1462
2022-06-22,5.1509
2022-06-23,5.1833
2022-06-24,5.2334
2022-06-27,5.2214
2022-06-28,5.2179
2022-06-29,5.2268
2022-06-30,5.238
2022-07-01,5.3142
2022-07-04,5.3038
2022-07-05,5.3899
2022-07-06,5.4321
2022-07-07,5.364
2022-07-08,5.3086
2022-07-11,5.3477
2022-07-12,5.412
2022-07-13,5.3992
2022-07-14,5.4568
2022-07-15,5.4014
2022-07-18,5.3675
2022-07-19,5.3904
2022-07-20,5.4288
2022-07-21,5.475
2022-07-22,5.4522
2022-07-25,5.4144
2022-07-26,5.3608
2022-07-27,5.3074
2022-07-28,5.2149
2022-07-29,5.1884
2022-08-01,5.1606
2022-08-02,5.2329
2022-08-03,5.2846
2022-08-04,5.2409
2022-08-05,5.2165
2022-08-08,5.1247
2022-08-09,5.1224
2022-08-10,5.0497
2022-08-11,5.1127
2022-08-12,5.1023
2022-08-15,5.0925
2022-08-16,5.134
2022-08-17,5.1784
2022-08-18,5.1773
2022-08-19,5.1961
2022-08-22,5.1709
2022-08-23,5.103
2022-08-24,5.105
2022-08-25,5.1173
2022-08-26,5.0903
2022-08-29,5.0428
2022-08-30,5.0617
2022-08-31,5.179
2022-09-01,5.2007
2022-09-02,5.1878
2022-09-05,5.1686
2022-09-06,5.2228
2022-09-08,5.2155
2022-09-09,5.1633
2022-09-12,5.1183
2022-09-13,5.1794
2022-09-14,5.1774
2022-09-15,5.2211
2022-09-16,5.2882
2022-09-19,5.2367
2022-09-20,5.1705
2022-09-21,5.1692
2022-09-22,5.1677
2022-09-23,5.2257
2022-09-26,5.3548
2022-09-27,5.3508
2022-09-28,5.3594
2022-09-29,5.3916
2022-09-30,5.4066
2022-10-03,5.2002
2022-10-04,5.1411
2022-10-05,5.2144
2022-10-06,5.2009
2022-10-07,5.2221
2022-10-10,5.1941
2022-10-11,5.2068
2022-10-13,5.3017
2022-10-14,5.2824
2022-10-17,5.2713
2022-10-18,5.2697
2022-10-19,5.2808
2022-10-20,5.2176
2022-10-21,5.1919
2022-10-24,5.2744
