data,valor
2009-09-01,288874.7
2009-10-01,309141.3
2009-11-01,307943.5
2009-12-01,303406.8
2010-01-01,284387.8
2010-02-01,283355.0
2010-03-01,318654.6
2010-04-01,311649.1
2010-05-01,315947.2
2010-06-01,316548.7
2010-07-01,328892.6
2010-08-01,332376.6
2010-09-01,336665.5
2010-10-01,350938.6
2010-11-01,358431.8
2010-12-01,347999.5
2011-01-01,327592.4
2011-02-01,332316.4
2011-03-01,356621.8
2011-04-01,354607.7
2011-05-01,368282.8
2011-06-01,363821.7
2011-07-01,367341.3
2011-08-01,374873.1
2011-09-01,370119.9
2011-10-01,383767.3
2011-11-01,391536.4
2011-12-01,385501.2
2012-01-01,364188.7
2012-02-01,367527.7
2012-03-01,397757.8
2012-04-01,385882.7
2012-05-01,401863.7
2012-06-01,395379.2
2012-07-01,409024.9
2012-08-01,418752.4
2012-09-01,402671.5
2012-10-01,431399.9
2012-11-01,426614.9
2012-12-01,413696.7
2013-01-01,408895.0
2013-02-01,398087.4
2013-03-01,434631.2
2013-04-01,446508.1
2013-05-01,441321.9
2013-06-01,434750.0
2013-07-01,452593.1
2013-08-01,453785.4
2013-09-01,447755.7
2013-10-01,475721.2
2013-11-01,470316.2
2013-12-01,467253.8
2014-01-01,453273.1
2014-02-01,455504.9
2014-03-01,477203.1
2014-04-01,479730.3
2014-05-01,481273.6
2014-06-01,461317.9
2014-07-01,486870.2
2014-08-01,483776.6
2014-09-01,491478.6
2014-10-01,509092.1
2014-11-01,498553.1
2014-12-01,500879.4
2015-01-01,474633.2
2015-02-01,467010.8
2015-03-01,515014.7
2015-04-01,497149.8
2015-05-01,492262.5
2015-06-01,490557.5
2015-07-01,507287.8
2015-08-01,501272.7
2015-09-01,499667.8
2015-10-01,521343.0
2015-11-01,514153.5
2015-12-01,515433.7
2016-01-01,482478.1
2016-02-01,490206.0
2016-03-01,527614.7
2016-04-01,520744.6
2016-05-01,516214.6
2016-06-01,522090.9
2016-07-01,522411.3
2016-08-01,530544.4
2016-09-01,524214.8
2016-10-01,539822.3
2016-11-01,545695.4
2016-12-01,547290.8
2017-01-01,514653.7
2017-02-01,510348.4
2017-03-01,560671.3
2017-04-01,537465.7
2017-05-01,550560.4
2017-06-01,542703.5
2017-07-01,548635.1
2017-08-01,555957.5
2017-09-01,544042.6
2017-10-01,568497.4
2017-11-01,573836.8
2017-12-01,578106.5
2018-01-01,553172.4
2018-02-01,539701.4
2018-03-01,589209.2
2018-04-01,587154.6
2018-05-01,562318.2
2018-06-01,584626.2
2018-07-01,592540.5
2018-08-01,599084.3
2018-09-01,576231.0
2018-10-01,612130.8
2018-11-01,607600.5
2018-12-01,600371.9
2019-01-01,578910.8
2019-02-01,576654.9
2019-03-01,601987.8
2019-04-01,613133.1
2019-05-01,616054.5
2019-06-01,597573.6
2019-07-01,632358.3
2019-08-01,630297.3
2019-09-01,617954.6
2019-10-01,649366.8
2019-11-01,637674.9
2019-12-01,637164.3
2020-01-01,614690.5
2020-02-01,618367.9
2020-03-01,635036.1
2020-04-01,568256.2
2020-05-01,576737.3
2020-06-01,607730.1
2020-07-01,644069.1
2020-08-01,637173.3
2020-09-01,648081.0
2020-10-01,674198.4
2020-11-01,679743.5
2020-12-01,705513.6
2021-01-01,679766.2
2021-02-01,707097.5
2021-03-01,769806.4
2021-04-01,737649.9
2021-05-01,731491.2
2021-06-01,734497.7
2021-07-01,765625.7
2021-08-01,767695.0
2021-09-01,762530.3
2021-10-01,772517.5
2021-11-01,788141.9
2021-12-01,795322.7
2022-01-01,723736.9
2022-02-01,753380.0
2022-03-01,842411.3
2022-04-01,832097.1
2022-05-01,841746.7
2022-06-01,843637.7
2022-07-01,869133.2
2022-08-01,873862.3
2022-09-01,858186.5
2022-10-01,880537.5
2022-11-01,880820.2
2022-12-01,880127.5
2023-01-01,811941.5
2023-02-01,829763.0
2023-03-01,939313.6
2023-04-01,909689.3
2023-05-01,912415.4
2023-06-01,905475.2
2023-07-01,921296.6
2023-08-01,932293.5
2023-09-01,915855.3
2023-10-01,953945.2
2023-11-01,961832.7
2023-12-01,949523.3
2024-01-01,888790.3
2024-02-01,898926.8
2024-03-01,965482.7
2024-04-01,989619.6
2024-05-01,961853.7
2024-06-01,969756.1
2024-07-01,1007672.7
2024-08-01,993542.6
2024-09-01,988698.1
2024-10-01,1050277.4
2024-11-01,1027050.4
2024-12-01,1003039.7
2025-01-01,950827.4
2025-02-01,977326.4
2025-03-01,1063076.3
2025-04-01,1054106.2
